,Rank (Borda),Model,Zero-shot,Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Classification,Clustering,Pair Classification,Reranking,Retrieval,STS,Summarization
37,38,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),⚠️,567M,1024,8194,60.24,57.84,76.83,40.94,84.82,46.01,42.31,80.87,33.11
38,39,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),✅,305M,768,8192,61.1,57.58,71.35,43.62,82.24,45.48,54.69,75.36,30.31
39,40,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),⚠️,22M,384,512,59.97,56.82,74.47,44.09,83.39,45.74,43.58,78.59,27.87
40,41,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),✅,33M,384,512,60.34,57.67,74.61,42.05,84.79,44.1,44.77,80.17,33.23
41,42,[e5-small](https://huggingface.co/intfloat/e5-small),✅,33M,384,512,59.94,57.2,73.68,42.21,85.09,44.46,43.8,80.12,31.06
42,43,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),✅,109M,768,384,,,,46.6,83.04,48.41,43.54,80.35,23.73
43,44,[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small),⚠️,117M,384,512,58.63,56.43,75.66,45.41,82.04,45.51,34.51,79.78,32.09
44,45,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),⚠️,117M,384,512,58.84,56.12,73.19,42.8,83.01,43.85,39.01,81.15,29.84
45,46,[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l),✅,335M,1024,512,60.71,55.84,69.51,45.7,80.81,44.71,55.71,74.05,20.38
46,47,[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s),✅,32M,384,512,60.43,57.47,69.55,43.26,82.07,45.88,51.82,77.19,32.49
47,48,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),✅,278M,768,512,57.76,55.43,72.67,43.52,81.73,45.16,34.43,81.03,29.45
48,49,[ember-v1](https://huggingface.co/llmrails/ember-v1),⚠️,335M,1024,512,,,80.08,,87.37,48.37,,,
49,50,[snowflake-arctic-embed-m-long](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long),✅,137M,768,2048,,,,45.1,82.02,45.63,53.83,74.88,24.98
50,51,[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1),⚠️,22M,384,512,,,,45.76,82.37,47.14,41.6,78.61,25.97
51,52,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),⚠️,19M,384,512,58.3,55.68,72.94,43.89,82.67,44.78,37.79,79.11,28.59
52,53,[bge-multilingual-gemma2](https://huggingface.co/BAAI/bge-multilingual-gemma2),⚠️,9B,3584,8192,,,88.74,,85.97,48.19,,,
53,54,[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5),⚠️,109M,768,512,60.17,56.72,70.72,44.65,79.98,45.9,54.65,71.28,29.89
54,55,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),✅,22M,384,256,58.55,55.68,69.2,44.9,82.37,47.14,41.6,78.61,25.96
55,56,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),⚠️,110M,768,512,58.82,56.03,72.06,39.95,83.04,46.98,43.47,79.56,27.15
56,57,[snowflake-arctic-embed-m](https://huggingface.co/Snowflake/snowflake-arctic-embed-m),✅,109M,768,512,59.7,55.11,67.45,45.48,81.07,44.85,54,73.3,19.63
57,58,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),✅,335M,1024,512,,,80.49,,86.13,47.49,,,
58,59,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),✅,33M,384,256,,,,44.56,82.46,47.54,41.97,79.32,23.79
59,60,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),✅,278M,768,514,56.54,54.68,72.87,40.66,82.07,44.01,31.84,80.69,30.64
60,61,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse),✅,7B,4096,32768,56.38,53.99,75.61,40.74,80.94,44.17,32.15,77.61,26.69
61,62,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),⚠️,17M,384,512,57.28,54.89,72.77,42.51,82.73,44.63,35.8,78.06,27.76
62,63,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),✅,109M,768,512,,,79.34,,85.97,46.49,,,
63,64,[KartonBERT-USE-base-v1](https://huggingface.co/OrlikB/KartonBERT-USE-base-v1),⚠️,103M,768,512,57.22,54.71,72.03,41.86,81.01,43.57,38.77,76.49,29.27
64,65,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),✅,22M,384,512,58.55,55.5,66.99,42.44,81.33,45.26,49.28,75.23,27.96
65,66,[gme-Qwen2-VL-2B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-7B-Instruct),✅,8B,3584,32768,,,83.18,,82.54,47.03,,,
66,67,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),⚠️,1B,2048,2048,56.79,54.03,70.21,43.22,76.64,44.65,39.78,75.22,28.46
67,68,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),✅,118M,768,512,55.93,53.73,69.32,41.74,80.01,45.43,33.41,79.3,26.92
68,69,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),⚠️,1B,2048,2048,56.82,53.81,70.98,41.63,78.19,44.23,39.08,76.81,25.76
69,70,[bge-small-en](https://huggingface.co/BAAI/bge-small-en),✅,33M,512,512,,,78.58,,83.84,46.37,,,
70,71,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),⚠️,1B,2048,2048,55.79,53.13,70.5,43.17,75.18,43.36,37.39,73.6,28.7
71,72,ru-en-RoSBERTa,✅,404M,1024,514,56.51,53.5,69.52,42.63,74.7,43.8,40.05,75.8,28
72,73,[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),⚠️,137M,768,8192,46.24,45.02,49.08,25.38,85.37,46.39,29.64,73.26,6.04
73,74,[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo),⚠️,129M,768,512,55.15,53.73,71.47,38.23,81.11,42.55,32.38,77.59,32.74
74,75,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),✅,17M,384,512,53.8,52.4,70.2,40.56,80.72,42.18,25.58,78.23,29.31
75,76,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),✅,117M,384,512,54.41,52.8,69.52,40.01,80.35,44.15,28.24,79.28,28.04
76,77,[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en),⚠️,32M,512,8192,,,,32.07,84.44,45.3,29.35,77.5,20.1
77,78,[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2),⚠️,278M,768,514,50.53,50.05,68.74,36.08,82.47,42.47,24.81,68.66,27.1
78,79,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),⚠️,17M,384,512,53.92,52.48,67.42,41.86,80.76,43.16,27.98,77.46,28.76
79,80,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),⚠️,35M,512,512,55.28,52.87,67.14,37.41,79.22,45.46,38.39,77.58,24.92
80,81,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),⚠️,470M,768,512,52.98,52.15,69.44,38.62,81.24,41.46,23.75,78.67,31.83
81,82,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),⚠️,559M,1024,514,51.79,51.41,71.82,38.73,77.64,40.27,16.42,79.92,35.07
82,83,[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),✅,118M,384,256,,,,38.22,77.46,43.78,23.21,81.9,25.54
83,84,[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M),✅,7M,256,Infinite,53.23,50.97,70.18,39.74,76.62,41.79,30.84,72.54,25.06
84,85,[Squirtle](https://huggingface.co/Mihaiii/Squirtle),✅,15M,384,512,51.99,50.81,69.16,38.8,78.68,41.22,23.11,76.12,28.59
85,86,[Venusaur](https://huggingface.co/Mihaiii/Venusaur),⚠️,15M,384,512,51.87,50.61,72.18,37.3,80.7,41.85,24.69,71.64,25.92
86,87,[LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse),✅,7B,4096,32768,,,76.7,,77.89,43.21,,,
87,88,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse),✅,7B,4096,8192,,,76.72,,78.01,43.63,,,
88,89,[German_Semantic_STS_V2](https://huggingface.co/aari1995/German_Semantic_STS_V2),⚠️,335M,1024,512,50.53,50,67.61,37.71,75.66,42.16,17.88,78.12,30.88
89,90,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),✅,3M,128,Infinite,51.79,49.71,67.82,39.47,75.37,41.41,28.2,71.87,23.82
90,91,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),⚠️,471M,768,512,48.79,49.28,67.72,36.08,78.87,41.28,18.1,69.63,33.27
91,92,[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove),✅,102M,256,Infinite,50.88,49.79,66.71,37.04,75.34,40.86,27.72,70.88,29.97
92,93,[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru),⚠️,129M,768,512,48.29,48.78,67.02,36.7,77.73,41.12,16.97,69.04,32.88
93,94,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),✅,103M,256,Infinite,49.64,48.73,66.76,36.78,74.71,40.69,24.95,68.61,28.62
94,95,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),✅,2M,64,Infinite,48.89,47.53,63.79,37.53,73.72,40.46,22.94,70.48,23.8
95,96,[USER-base](https://huggingface.co/deepvk/USER-base),✅,427M,768,512,48.2,48.1,62.8,34.14,75.53,39.15,21.97,71.25,31.84
96,97,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),✅,7M,256,Infinite,48.91,47.84,66.72,33.96,74.9,39.31,25.18,68.17,26.61
97,98,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),✅,2B,2048,8192,38.02,35.98,60.67,42.42,53.62,37.34,7.83,43.17,6.79
98,99,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),⚠️,29M,312,2048,45.9,46.57,61.41,33.18,76.16,39.31,18.27,66.32,31.33
99,100,[LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse),✅,7B,4096,32768,,,73.09,,72.21,41.11,,,
100,101,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),⚠️,7B,3584,32768,,,,,,,,,
101,102,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),✅,11M,312,512,40.6,41.14,61.72,34.18,59.92,36.73,6.86,58.98,29.59
102,103,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),✅,109M,768,514,41.77,42.83,58.22,31.61,70.09,36.55,7.53,66.19,29.6
103,104,[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2),✅,29M,312,2048,41.67,41.89,57.68,33.53,68.21,37.42,9.53,63.34,23.49
104,105,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),✅,162M,768,512,40.44,41.68,61.34,29.55,67.95,37.45,5.1,62.13,28.21
105,106,[MicroLlama-text-embedding](https://huggingface.co/keeeeenw/MicroLlama-text-embedding),✅,272M,1024,2048,,,,,,,,,
106,107,[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1),⚠️,135M,768,512,40.35,41.2,56.97,31.5,68.99,37.61,8.04,60.87,24.45
107,108,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),✅,135M,768,512,39.24,40.79,53.69,30.41,67.11,37.99,6.37,61.88,28.12
108,109,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),⚠️,107M,768,512,37.14,37.69,58.76,30.61,49.12,35.21,7.49,52.21,30.4
109,110,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),✅,427M,1024,512,36.1,36.21,52.32,30.68,53.64,36.64,4.15,56.61,19.44
110,111,[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence),✅,107M,768,512,35.83,36.08,49.91,32.18,54.35,35.92,3.61,56.7,19.89
111,112,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),⚠️,427M,1024,512,33.53,33.87,51.4,30.49,46.91,35.26,3.45,48.67,20.9
112,113,[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased),⚠️,1B,768,512,31.51,32.33,51.8,31.41,39.88,37.26,2.41,40.53,23.02
113,114,[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base),⚠️,124M,768,512,33.64,34.54,53.57,30.05,48.69,35.79,2.3,47.6,23.75
114,115,[MiniCPM-Embedding](https://huggingface.co/openbmb/MiniCPM-Embedding),⚠️,2B,2304,512,,,,,,,,,
115,116,[e5-R-mistral-7b](https://huggingface.co/BeastyZ/e5-R-mistral-7b),✅,7B,Unknown,32768,,,,,,,,,
116,117,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),⚠️,98M,1024,512,,,,27.83,53.8,35.7,1.94,52,20.59
